,FFFFF000
IANonSkinTBNL_LA,5402F000
IANonSkinTBNA,747D1000
IANonSkinTBLA,12553000
IANonSkinTBCA,9399C000
IANonSkinTBNCA,B6681000
IANonSkinTBNLA,37A4E000
IANonSkinB,A7D7D000
IANonSkinBC,207D6000
IANonSkinBL,D1A47000
IANonSkinBL_LA,8A618000
IANonSkinBA,C66FA000
IANonSkinBLA,2082F000
IANonSkinBCA,A14E0000
IASkinOTB_4WT_4M,2F55C000
IANonSkinTBN_4M,4325A000
IASkinVelocytyEdge,EFC14000
IADualParaboloid,B4229000
Direction,4ACEF000
IA_DeferredLighting_LightVolume,A0978000
IAPrimitiveCloudBillboard,64435000
CldAspectRatio,F8CB7000
CldAlpha,F6F36000
CldSize,20581000
CldPosition,E5C61000
CldScale,973D8000
IAPrimitiveCloud,ED029000
IAPrimitiveSprite,CCC74000
ZOffset,2F83D000
Intensity,CC5CE000
SprScale,355CF000
SprRot,6944E000
SprWidth,F3564000
SprHeight,D87EA000
SprRatio,5C834000
SprVolume,AAF3B000
PrimRot,7678D000
PrimVol,25707000
PrimPrScale,EFCE7000
IAPrimitiveNT,28185000
NTRot,44EAC000
NTSize,A0803000
NTVolume,454A6000
IAPrimitivePolyline,55CE2000
PlnWidth,A06DD000
PlnReserved,A7B02000
PlnTangent,C3CF2000
PlnVolume,D4120000
IAPrimitivePolygon,814BA000
PlyNormal,B465A000
PlyBinormal,C07A6000
PlyTangent,204C0000
PlyVolume,4E360000
IACubeMapFilter,50217000
IAGSDOFFilter,7D107000
SV_VertexID,AB144000
SV_InstanceID,215EB000
IABokeh,377D7000
POSITION,8746000
IAWater,40521000
IAWaterRipple,C463C000
IAGUI,FC6E2000
IATextureBlend,FA335000
IAGPUParticle,77562000
Rotation,50558000
Index,DB7FA000
TexCoordScl,C5CC4000
IAGPULineParticle,833A2000
IAGPUPolylineParticle,14093000
IALightShaftInput,1AF65000
IAGrass,A8E08000
COLOR_BLEND,14BBB000
COS_SIN,65501000
LIGHTMAP,64714000
VERTEX_NO,50A28000
WIDTH_HEIGHT,1D9F5000
GRASS_POWER,38A6E000
AMBOCC,4DCA000
IAGrassHicomp,A6451000
ANGLE,A7846000
IAGrassHicomp2,E8A86000
VNO_CB,84E02000
SCALING,A3DE2000
IAGrassPoint,4BB95000
IAGrassLowest,B6D3F000
IAGrassSPU,C8705000
GRASS_COLOR,FC327000
UV_BASEMAP,492BD000
WORLD_POSITION,A62ED000
WORLD_NORMAL,B9AD4000
WORLD_TANGENT,ABAF3000
DIFFUSE,BD794000
SPECULAR,341EA000
AMBIENT_OCCLUSION,B26F0000
IAGrassOutsourcing,11035000
OS_POSITION,DB706000
IAGrassOutsourcingF32,1533B000
IAMirage,2AA4000
IASimWaterForViewInput,ABE96000
IASoftBodyQuad,CC1FE000
IASoftBodyVertex,79A5E000
SbTexCoord,BE5D6000
IASoftBodyDecouple,CFF47000
SbWeight,E78AB000
SbOffset,9E73A000
IASoftBodyVertexNoVTF,4D186000
SbPos,4FB2F000
SbQuat,2D97000
IASoftBodyVertexPS3,D4E3000
IASoftBodyDecoupleNoVTF,81FCF000
IATattooBlend2D,96284000
IABuilder,6D5D5000
IASky,CE69F000
IAAstralBody,9821B000
IASkyStar,13845000
IAAmbientShadow,507E4000
IAVertexIndexF32,78320000
PROJECTION_INDEX,D876C000
IAVertexIndexF16,C25BB000
IATriangleF32,6E59D000
TRIANGLE_INDEX,537E5000
IATriangleF16,D4306000
IAInfParticle,710F8000
Attribute,492A7000
IA_SYSTEM_COPY,C07AE000
position,31B0A000
texcoord,28BF2000
Format,98816000
IA_SYSTEM_CLEAR,C841C000
color,9B716000
SYSTEM_OUTPUT,E65D9000
SV_Position,DD454000
texcoord1,82181000
texcoord2,1703B000
texcoord3,640AD000
SYSTEM_DEPTHOUT,DBABE000
SV_Target,C7E94000
depth,CE396000
SV_Depth,9766C000
SYSTEM_MRT2,670A3000
color0,42C4A000
color1,31CDC000
SYSTEM_MRT3,14035000
color2,A4D66000
SYSTEM_MRT4,5D596000
color3,D7DF0000
PROCEDURAL_TEXTURE_OUT,706B8000
IA_FILTER,33C18000
texcoord0,F1117000
COLOR4N,C6F41000
IA_FILTER0,3BC6000
IA_FILTER1,70B50000
IA_FILTER2,E5AEA000
FILTER_OUT,CA1B5000
svposition,C28D1000
sposition,62FDD000
ScreenPosition,23737000
FILTER_INPUT,872F1000
viewdepth,35FD1000
ViewDepth,3F276000
screendepth,76602000
ScreenDepth,AC6D1000
wposition,A7ED1000
WorldPosition,6FD83000
viewdir,5818000
ViewDirection,BE46D000
viewdist,F1C6A000
ViewDistance,F2857000
FILTER_OUTPUT_16,2D292000
texcoord4,2D50E000
texcoord5,5E598000
texcoord6,CB422000
texcoord7,B84B4000
SMAA_OUTPUT,747F4000
offset,5352F000
TexCoordOffset,DA2C1000
pixcoord,8EF7C000
PixCoord,FA22E000
IA_DEVELOP_PRIM2D,DB25C000
IA_DEVELOP_PRIM3D,6831D000
DEVELOP_OUTPUT,8A5F0000
IA_COLLISION_VS_INPUT,A1598000
COLLISION_OUT,BC628000
MATERIAL_CONTEXT,CFCA6000
tangent,5F417000
binormal,A4721000
eye_dir,65B01000
reflect_dir,DC380000
uv_primary,3B798000
uv_secondary,1EABA000
uv_unique,9B56000
uv_extend,B840D000
uv_screen,EAC11000
light_mask,2E449000
vertex_color,DD5C7000
vertex_normal,CD13B000
transparency,964BE000
shininess,F5E27000
fresnel,5660000
ambient_occlusion,72804000
sub_toon,43FC3000
shadow_specular,706F6000
dissolve,3FC27000
blend_rate,C5D60000
vablend_rate,E9E95000
albedo,8FCC6000
diffuse,E298E000
diffuse2,6A18E000
specular2,F5780000
diffuse3,19118000
tangent_primary,C3613000
tangent_secondary,9C9C3000
global_transparency,565E7000
attributes,4618F000
FOG_OUT,7B5D7000
addfactor,CF5A2000
mulfactor,67964000
effect,F6E0D000
SKINNING_INPUT,15DC1000
weights,D8CA7000
joints,8502B000
LIGHT_PARAM,6065000
fLightPos,88010000
fLightMask0,57E19000
fLightDir,A1CAC000
fLightMask1,24E8F000
fLightColor,EB6BE000
fLightBalance,2B4F1000
fAttenuation,526D7000
fAttenuation2,173D1000
fLightRangeMat,DE974000
fLightProjMat,D0E3B000
fShadowSpecularInfluence,915D9000
LIGHT_OUTPUT,F4F94000
diffuse_enable,72CF3000
specular_enable,EC1B7000
direction,52E4C000
diffuse_back_enable,19AEB000
diffuse_back,7C7D9000
atten,A72E5000
DEFERRED_LIGHTING_RESULT,5C34F000
diffuseAndSpecular,FE21D000
MATERIAL_INPUT,41E6D000
vcolor,20F74000
valpha,47EF7000
MORPH_INPUT,55AA6000
morphpos0,9F9E2000
morphpos1,EC974000
morphpos2,798CE000
morphpos3,A858000
morphn0,E4F05000
morphn1,97F93000
morphn2,2E29000
morphn3,71EBF000
SOFTBODY_INPUT,25636000
quat0,1BC7A000
quat1,68CEC000
quat2,FDD56000
weight,2AABE000
LATTICE_DEFORM_INPUT,8F876000
SWING_INPUT,FB2B000
origin,EA9E1000
weight2,6FDA1000
origin2,B8DC7000
INSTANCING_INPUT,97ADE000
instance_wmat,85FBD000
instance_color,7A67E000
PROJECTION_INPUT,6D2BA000
proj_idx,D1A91000
MATERIAL_OUTPUT,31D65000
wnormal,B0763000
WorldNormal,22369000
wtangent,E6C89000
WorldTangent,48CB3000
wbinormal,322FA000
WorldBiNormal,3A49E000
Dissolve,59E71000
Attributes,9625F000
MATERIAL_HS_INPUT,580D5000
SVPosition,6CBF4000
MATERIAL_HS_OUTPUT,AE745000
MATERIAL_OUTPUT_EX,B7EF8000
EyeDir,5A5EE000
ReflectDir,3CBE7000
IA_SWING,BBF48000
IA_SWING2,3539D000
IA_SWING_HIGH_PRECISION,CB731000
IA_SWING2_HIGH_PRECISION,BA420000
SWING_INFO,530AE000
IA_INSTANCING,F5F8000
Instance,92C77000
IA_LATTICE_DEFORM,95853000
IA_TETRA_DEFORM,9F45C000
IA_TETRA_DEFORM2,9B5AB000
WORLD_COORDINATE_INPUT,E9811000
instance_id,E8DE2000
IA_SKIN_BRIDGE_1WT,8D8CF000
qposition,75B000
joint,A83F8000
SCMP3N,9A16B000
IA_SKIN_BRIDGE_2WT,E6696000
weights0,E2B6B000
IA_SKIN_BRIDGE_4WT,31A24000
IA_SKIN_BRIDGE_8WT,9E340000
IA_SKIN_BRIDGE_4WT_4M,8717A000
IA_SKIN_TB_1WT,53790000
uv_basemap,DEDD4000
uv_normalmap,2DA49000
uv_lightmap,93014000
uv_alphamap,9FEC000
IA_SKIN_TBN_1WT,E29CD000
IA_SKIN_TBC_1WT,EED7C000
IA_SKIN_TBNLA_1WT,2A3A1000
IA_SKIN_TB_2WT,389C9000
IA_SKIN_TBN_2WT,89794000
IA_SKIN_TBC_2WT,85325000
IA_SKIN_TBNLA_2WT,41DF8000
IA_SKIN_TB_4WT,EF57B000
weight0,89C8D000
Start,78574000
IA_SKIN_TBN_4WT,5EB26000
IA_SKIN_TBC_4WT,52F97000
IA_SKIN_TBNLA_4WT,9614A000
IA_SKIN_TB_8WT,40C1F000
weights2,4A47000
IA_SKIN_TBN_8WT,F1242000
IA_SKIN_TBC_8WT,FD6F3000
IA_SKIN_TBNLA_8WT,3982E000
IA_NONSKIN_TB,3168B000
uv_lightmapu,588FE000
IA_NONSKIN_TBC,7994000
IA_NONSKIN_TBL,F6405000
IA_NONSKIN_TBL_LA,E28CE000
IA_NONSKIN_TBN,10529000
IA_NONSKIN_TBA,E18B8000
IA_NONSKIN_TBNL,3D4D2000
IA_NONSKIN_TBNL_LA,E98EC000
IA_NONSKIN_TBNC,CC943000
IA_NONSKIN_TBNA,2A86F000
IA_NONSKIN_TBLA,4CAED000
IA_NONSKIN_TBCA,CD622000
IA_NONSKIN_TBNCA,3EDE5000
IA_NONSKIN_TBNLA,BF12A000
IA_NONSKIN_B,6CB0000
IA_NONSKIN_BC,C93CA000
IA_NONSKIN_BL,38E5B000
IA_NONSKIN_BL_LA,2D7C000
IA_NONSKIN_BA,2F2E6000
IA_NONSKIN_BLA,6EAF4000
IA_NONSKIN_BCA,EF63B000
IA_SKIN_OTB_4WT_4M,AB495000
IA_NONSKIN_TBN_4M,75F90000
MATERIAL_VELOCITY_OUTPUT,44A51000
velocity0,E344000
Velocity,14B00000
velocity1,7D3D2000
IA_SKIN_VELOCITY_EDGE,7760000
OUTLINE_DETECTOR,AF772000
idstart,3C669000
idend,69729000
zstart,FD269000
zinvrange,86DBA000
MATERIAL_OUTLINE_OUTPUT,A4D9B000
ShadowReceiveParam,74524000
fShadowLightPos,12D2F000
fShadowLightRangeInverse,EC738000
fShadowDistanceBias,9B3FD000
fShadowLightDir,3B193000
fShadowRange,DB75A000
fShadowProjectNear,C4686000
fShadowProjectMiddle,70B57000
fShadowProjectFar,A2B4000
fShadowDistanceAttn,1A6FD000
fShadowAngularAttn,6CF46000
fShadowCubeFaceOffset,C3AAF000
fShadowCubeFaceScale,FF833000
fShadowMapSize,C4421000
fShadowRangeMat,C3EBC000
fShadowFaceIncreaseAttn,55C05000
fShadowFaceDecreaseAttn,BDAAF000
fShadowDistanceScaledDepthBias,AC24C000
fShadowVarianceEpsilon,BA7F9000
fShadowPmaxPower,90276000
fShadowNearPlane,C8F66000
fShadowAttn,4A65000
ShadowReceiveContext,82E10000
bShadowSelector,C8441000
SHADOWRECEIVE_OUTPUT,FE3AB000
SV_POSITION,82A4E000
t_near,58A9C000
TexcoordNear,385FB000
t_middle,89DCE000
TexcoordMiddle,BFD09000
t_far,6AC7D000
TexcoordFar,E00E8000
viewz,3DBDC000
ViewZ,CD410000
SHADOWRECEIVE_DEFERRED_OUTPUT,9F0E6000
eye_ray,6D743000
EyeRay,529AC000
IA_DUAL_PARABOLOID,D5ABD000
DUAL_PARABOLOID_OUTPUT,258E3000
DEFERRED_LIGHTING_GEOMETRY_PARAMETER,DAA39000
specularPower,EAC86000
lightGroup,93CA3000
HalfLambert,6EA67000
DIFERRED_LIGHTING_MRT,CFF23000
DEFERRED_LIGHTING_GBUFFER_PASS_VS_OUTPUT,E90EC000
UV_BaseMap,113DB000
UV_NormalMap,34A25000
UV_AlphaMap,A375D000
IA_DEFERRED_LIGHTING_LIGHT_VOLUME,1ADF9000
DEFERRED_LIGHTING_LIGHT_VOLUME_VS_OUTPUT,6A816000
DEFERRED_LIGHTING_LIGHT_VOLUME_MRT_PS_OUTPUT,C99BF000
RSM_PARAM,3913B000
RSM_OUTPUT,A8096000
ADHESION_INPUT,BF40B000
ADHESION_OUTPUT,1C6E2000
ADHESION_OUTPUT_PV,64692000
Diffuse,31012000
HS_PN_CONSTANT,60350000
fTessFactor,BE4E1000
SV_TessFactor,9C245000
fInsideTessFactor,4965A000
SV_InsideTessFactor,940A4000
f3B210,7E61B000
f3B120,C0B81000
f3B021,95120000
f3B012,D5359000
f3B102,4082F000
f3B201,BE7CC000
f3B111,668D4000
CENTER,7D35D000
f3N110,7E7FA000
f3N011,2BD5B000
f3N101,BE62D000
HS_PH_CONSTANT,87317000
MATERIAL_PH_OUTPUT,32A51000
gnormal,59BAD000
GeomNormal,61CF8000
gflags,BD719000
GeomFlags,C926B000
HS_DM_CONSTANT,E0F1A000
SHADOWCAST_INPUT,65D64000
SHADOWCAST_OUTPUT,39782000
IA_PRIMITIVE_CLOUD_BILLBOARD,BC7FB000
cloud_asp,377DD000
cloud_alpha,C97F6000
cloud_size,BF9F1000
cloud_pos,9B27D000
cloud_scale,A8B18000
IA_PRIMITIVE_CLOUD,21249000
IA_PRIMITIVE_SPRITE,3A126000
zoffset,3C497000
intensity,D476D000
spr_scale,32C68000
spr_rot,535DE000
spr_w,72B5B000
spr_h,F26AE000
spr_ratio,5B193000
spr_volume,80909000
prim_rot,5FCED000
prim_vol,CC67000
prim_prscale,550D000
IA_PRIMITIVE_NT,8D153000
nt_rot,717FE000
nt_size,EFB82000
nt_volume,8DB2E000
IA_PRIMITIVE_POLYLINE,10C04000
pln_w,4E3B8000
pln_reserved,B3254000
pln_tangent,97D4000
pln_volume,F270B000
IA_PRIMITIVE_POLYGON,5BBC7000
ply_normal,EBA03000
ply_binormal,EFBD9000
ply_tangent,1B86C000
ply_volume,11F39000
PRIMITIVE_VS_INPUT,6B8F1000
tex_coord,72BD9000
cloud_aspect,D0F19000
PRIMITIVE_VS_OUTPUT,BF0AC000
Fresnel,D6FFC000
depth_vol,8675B000
DepthVol,613F8000
w_pos,91477000
WrlPosition,EF86B000
s_pos,9B2B7000
ScrPosition,9F8DC000
parallax_scale,3A0A9000
ParaScale,FEA62000
OccUV,8B73E000
OccUVX,47CDA000
OccUVY,34C4C000
OccDist,8F5AD000
CldAmb,2EEF000
CldDir,3964000
PRIMITIVE_HS_INPUT,79BE8000
PRIMITIVE_HS_CONST_DATA,796B4000
edges,5F24A000
inside,10D4B000
uv_min,40C77000
UVMin,F9A05000
uv_max,9332E000
UVMax,2A55C000
uv_center,22605000
UVCenter,4E08000
uv_invdiff,C68A4000
UVInvDiff,3694F000
PRIMITIVE_HS_CONTROL_POINT,8A335000
PRIMITIVE_DS_OUTPUT,D9A5B000
PRIMITIVE_DC_OUTPUT,6AB70000
SV_TARGET,8BC24000
RADIAL_BLUR_OUTPUT,BA85C000
TVNOISE_FILTER_OUTPUT,FC9BB000
PositionNoise,45362000
ColorNoise,80E5D000
VARIANCE_FILTER_OUTPUT,62B51000
CUBEMAP_VARIANCE_FILTER_OUTPUT,2A944000
BLOOM_FILTER_OUTPUT,553C3000
IMAGE_PLANE_FILTER_OUT,D800D000
IA_CUBEMAP_FILTER,5ADD1000
CUBEMAP_FILTER_OUTPUT,3D8DB000
IA_GSDOFFILTER,9C9CC000
VS_DOF_INPUT,1DFCD000
GS_DOF_INPUT,C7E5E000
position2,B6B85000
position3,C5B13000
PS_DOF_INPUT,C7A2D000
texuv,B298E000
GS_DOF_OUTPUT,7C413000
VPIndex,84BE3000
SV_ViewportArrayIndex,EC1DD000
SSAO_OUTPUT,AE49D000
ViewPosition,15623000
SSAO_NORMAL_OUT,A4BEB000
center_npos,D9C5E000
delta,C0126000
Delta,D2E22000
IA_BOKEH,96E3E000
TANGENT_FILTER_OUT,76B67000
PRIM_FOG_OUT,3BB7F000
PRIM_EYE_OUT,41304000
e_vector,7FEEF000
distance,D657E000
PRIM_NTB_OUT,D8830000
IA_WATER,E1CC8000
IA_WATER_VCOLOR,F8A54000
IA_WATER_RIPPLE,61B3A000
height,21AF0000
WATER_OUTPUT,F3318000
WaveHeight,72590000
unit_texcoord,C6160000
UnitTexcoord,4DDE3000
bubble_mask,CDD9C000
BubbleMask,4B88A000
WATER_RIPPLE_OUTPUT,F552000
WATER_POSITION_OUTPUT,874FD000
IA_GUI,EA095000
VS_OUT_GUI,2DC14000
TexCoord0,29682000
TexCoord1,5A614000
Color0,8297C000
IA_TEXTURE_BLEND,940DF000
TEXTURE_BLEND_OUTPUT,31675000
IA_GPU_PARTICLE,FF8FD000
rotation,3670E000
index,C98FE000
uv_scale,932C8000
IA_GPU_LINE_PARTICLE,730A6000
IA_GPU_POLYLINE_PARTICLE,78491000
width,5BAD0000
GPU_PARTICLE_VS_INPUT,621BA000
GPU_PARTICLE_PS_INPUT,9283D000
IA_LIGHTSHAFT_INPUT,229BF000
LIGHTSHAFT_OUTPUT,94B18000
plane_dist0,F3543000
PlaneDistance,F31EB000
plane_dist1,805D5000
IA_GRASS,97E1000
color_blend,EDC65000
cos_sin,10425000
vert_no,E8C70000
width_height,EA979000
power,5FE5F000
IA_GRASS_HICOMP,CDAE000
vertex_no,A5227000
angle,EBAF6000
IA_GRASS_HICOMP2,5BFA2000
vertex_no_color_blend,CB34E000
scaling,FC3F8000
IA_GRASS_LOWEST,1C4C0000
IA_GRASS_POINT,B3523000
GRASS_INPUT,1B919000
vno_cb,DCF64000
color_tweak,16F87000
COLOR_TWEAK,EF859000
GRASS_OUTPUT,40DE7000
world_position,39A73000
world_normal,4EA58000
world_tangent,DA40000
world_binormal,AC658000
WORLD_BINORMAL,33EC6000
GRASS_ORIGIN,B4F67000
reflection,E64D000
REFLECTION,FFB72000
GRASS_SHADOWRECEIVE_OUTPUT,66DFD000
DYNAMICEDIT_INPUT,CBC3000
DYNAMICEDIT_OUTPUT,875F000
ALPHA_MASK,B397000
GRASS_INFOMATION,34009000
GRASS_REFLECTION,36F5B000
lightmask,A870E000
DEFERRED_MATERIAL_PS_OUTPUT,ED79E000
IA_GRASS_SPU_INPUT,9718E000
IA_GRASS_OUTSOURCING,C5A78000
IA_GRASS_OUTSOURCING_F32,BF6F7000
GRASS_OUTSOURCING_INPUT,9A582000
os_position,FA74D000
IA_MIRAGEFILTER,D1C9E000
MIRAGE_FILTER_VS_INPUT,A01BD000
decompress,BFB18000
Decompress,6F8C8000
MIRAGE_FILTER_PS_INPUT,5083A000
VtxPosition,24491000
MIRAGE_HEAT_VS_INPUT,8B6CD000
MIRAGE_HEAT_PS_INPUT,7BF4A000
IA_SIMWATER_FOR_VIEW_VS_INPUT,6A81000
SIMWATER_FOR_VIEW_VS_OUTPUT,F4ADC000
SIMWATER_FOR_VIEW_PS_INPUT,71052000
IA_SOFTBODY_QUAD,1C10E000
IA_SOFTBODY_VERTEX,17B34000
texCoord0,31421000
IA_SOFTBODY_DECOUPLE,910B8000
texCoord1,424B7000
texCoord2,D750D000
IA_SOFTBODY_VERTEX_NOVTF,4F4A8000
IA_SOFTBODY_VERTEX_PS3,9BA18000
IA_SOFTBODY_DECOUPLE_NOVTF,DE9FC000
SB_IC_OUTPUT,E5730000
SB_INPUT,60DBB000
SB_OUTPUT,8B897000
texCoord,3A4F6000
TEXCOORD,117BE000
SB_OUTPUT2,DBFDF000
SB_PSMRTOUT,D470D000
Color1,F19EA000
SB_PSMRTOUT2,6C07A000
Color2,64850000
Color3,178C6000
SB_PSMRTOUT3,1F0EC000
TATTOO_OUTPUT,960E3000
pcoord,58B7D000
ProjectionCoord,1ED42000
IA_TATTOO_BLEND2D,9BFD7000
TATTOO_BLEND2D_OUTPUT,BBA0B000
IA_BUILDER,BC3E0000
BUILDER_VS_INPUT,E48A8000
BUILDER_PS_INPUT,1412F000
IA_SKY,78482000
IA_ASTRAL_BODY,BC9A5000
SKY_MAP_VS_OUT,E49C1000
SKY_OUT,6D4B000
ASTRAL_BODY_VS_OUT,6136B000
IA_SKY_STAR,3377F000
SKY_STAR_OUT,A99F4000
SKY_STARRY_SKY_OUT,B7070000
IA_AMBIENT_SHADOW,3D2E3000
AMBIENT_SHADOW_OUT,B8E92000
OCCLUSION_QUERY_VS_OUTPUT,28C98000
MRTOutput,28615000
Target0,4C85A000
Target1,3F8CC000
MRTOutput3T,3BCDE000
Target2,AA976000
IA_VERTEX_INDEX_F32,7A857000
IA_VERTEX_INDEX_F16,C0ECC000
TRIANGLE_INPUT,E6233000
TRIANGLE_OUTPUT,8EBEA000
IA_TRIANGLE_INDEX_F32,4BEC1000
IA_TRIANGLE_INDEX_F16,F185A000
MIRROR_OUTPUT,224D1000
projection,B37D9000
PROJECTION,42AE6000
MIRROR_FILTER,86F52000
reflection_color,607C7000
reflection_uv,14AAD000
IA_INF_PARTICLE,7FEC5000
attr0,A8A80000
attr1,DBA16000
INF_PARTICLE_VS_INPUT,370EB000
INF_PARTICLE_PS_INPUT,C796C000
SCALING_FILTER_OUTPUT,6B223000
$Globals,7B2C2000
fAlphaClipThreshold,B4711000
fAlbedoColor,890DD000
fAlbedoBlendColor,1939E000
fDetailNormalPower,E1486000
fDetailNormalUVScale,40201000
fDetailNormal2Power,B05EF000
fDetailNormal2UVScale,B4BD8000
fPrimaryShift,59AFB000
fSecondaryShift,C0C1D000
fParallaxFactor,1136E000
fParallaxSelfOcclusion,ED32E000
fParallaxMinSample,5D50C000
fParallaxMaxSample,E674D000
fLightMapColor,964D4000
fThinMapColor,AD220000
fThinScattering,482AC000
fScreenUVScale,D25E3000
fScreenUVOffset,1CAA6000
fIndirectOffset,E0F7000
fIndirectScale,90D4C000
fFresnelSchlick,DF845000
fFresnelSchlickRGB,39906000
fSpecularColor,C55E0000
fShininess,4D46B000
fEmissionColor,C1D89000
fConstantColor,7157D000
fRoughness,B47F3000
fRoughnessRGB,73CB0000
fAnisotoropicDirection,52A79000
fSmoothness,937D8000
fAnistropicUV,3B9FD000
fPrimaryExpo,A0791000
fSecondaryExpo,3A44E000
fPrimaryColor,8E957000
fSecondaryColor,17FB1000
fAlbedoColorVFX,7E756000
fAlbedoBlendColorVFX,85E00000
fAlbedoVTXColorVFX,8EDCC000
fBlendHeightMin,F8FAD000
fBlendHeightMax,2B0F4000
SasUiMin,9969D000
SasUiMax,4A9C4000
SasUiControl,B30F000
ColorPicker,981B0000
SasUILabel,FBC13000
SasUIDescription,EB7B7000
SasUiStep,6FE17000
DetailPower,8C618000
DetailUVScale,B450B000
Detail2Power,FDD7E000
Detail2UVScale,9BD81000
SasUiDescription,F6C4F000
SasUiStride,60E66000
SasUiLabel,3B925000
FresnelFactor,5766C000
Schlick,AAA73000
SasUiSteps,6E3BF000
ComputeVals,42441000
sMaxID,A6580000
CBViewProjection,B933B000
fViewProj,90E8C000
fCameraPos,79502000
fCameraNearClip,A93AE000
fCameraDir,509BE000
fCameraTargetDist,DD8B000
fCameraFarClipLog2,59409000
fCameraFarClipLog2Inv,C9479000
fCameraDissolveDistance,DD4C0000
fCameraDissolveBias,ABD2000
fView,451A3000
fViewI,F2F37000
fProj,5C6BD000
fProjI,CE3C3000
fViewProjI,56F31000
CBScreen,9446D000
fScreenOffset,A257000
fScreenScale,24157000
fScreenSize,26460000
fScreenInverseSize,930C000
fScreenHalfPixelOffset,B0DDC000
CBViewProjectionPF,FF2C000
fViewProjPF,A38E8000
fViewPF,2679D000
fProjPF,8F254000
CBViewFrustum,6D556000
fViewFrustum,74859000
CBWorld,42D58000
fWorld,47B41000
CBTest,B2399000
fTestParam,37CEA000
fTestDirection,952F6000
fTestType,1936A000
fTestColor,F488A000
fDummyColor,B679E000
CBPicker,76FDD000
fPickColor0,D6BB8000
fPickColor1,A5B2E000
fPickColor2,30A94000
fPickColor3,43A02000
fDynamicPickerColor,99206000
CBMipLevel,1C76A000
fMipLevel,2D4BE000
CBHDRFactor,C3B63000
fHDRCompressEncode,137B000
fHDRCompressDecode,CF1CF000
fHDRRelativeEncode,BDBE0000
fHDRRelativeDecode,73954000
CBROPTest,F90C1000
fAlphaRef,7F7E7000
fStencilRef,6A5BF000
fDepthBias,1A663000
fAlphaToCoverageScale,C6F21000
fGlobalTransparency,37707000
CBBlendFactor,17FA6000
fblendFactor,C6D7E000
SSPoint,282CF000
SSLinear,93BBF000
SSAnisotoropic,A82CC000
SSWrapPoint,41382000
SSWrapLinear,71003000
SSWrapAnisotoropic,99E5F000
SSBorderPoint,344A000
SSBorderLinear,58EA6000
SSLinearMipPoint,9099A000
SSClampPoint,D6FA6000
SSClampLinear,11DAE000
BSDefault,4D2C8000
BSSolid,62B2D000
BSSolidEx,67927000
BSBlendAlpha,23BAF000
BSComposite,D4823000
BSInvComposite,EB00E000
BSBlendInvAlpha,3E21B000
BSAdd,4F92000
BSMul,81DD4000
BSAddAlpha,D3B1D000
BSAddInvAlpha,9463D000
BSBlendFactor,A07B0000
BSBlendFactorAlpha,13C43000
BSMax,C1EFC000
BSNoWrite,52518000
BSAZero,6CEC1000
BSAAdd,936D000
BSASub,86256000
BSAInvert,B806A000
BSRGBWrite,28BCA000
BSRWrite,61D96000
BSGWrite,D8EBE000
